read_file,total_reads,total_bases,percent_bases_mapped,chr_coverage_avg,chr_coverage_rel_variance,chr_num_reads_mapped,chr_num_bases_mapped,chr_length,chr_nbinom_fit_mean,chr_nbinom_fit_rel_var,pab1_coverage_avg,pab1_coverage_rel_variance,pab1_num_reads_mapped,pab1_num_bases_mapped,pab1_length,pab1_nbinom_fit_mean,pab1_nbinom_fit_rel_var,pab2_coverage_avg,pab2_coverage_rel_variance,pab2_num_reads_mapped,pab2_num_bases_mapped,pab2_length,pab2_nbinom_fit_mean,pab2_nbinom_fit_rel_var,pab3_coverage_avg,pab3_coverage_rel_variance,pab3_num_reads_mapped,pab3_num_bases_mapped,pab3_length,pab3_nbinom_fit_mean,pab3_nbinom_fit_rel_var
7141_S7_L001_R1_001_trimmed,5877421,645214788,645214788,148.66,21.64,5431010.0,595579637.83,3972672,164.41,17.07,190.61,45.85,148914.0,16349235.0,83610,170.41,32.99,1418.58,311.45,111787.0,12256811.0,8731,1672.84,258.34,8539.69,490.64,137273.0,15193927.0,1967,8274.42,374.57
7142_S8_L001_R1_001_trimmed,6082444,653190129,653190129,148.3,21.03,5547429.0,595013509.25,3972672,163.09,14.77,186.84,107.47,150481.0,16302500.0,83610,161.14,33.95,1866.03,398.69,150335.0,16122678.0,8731,8384.76,4461.29,11355.48,758.46,187697.0,20203225.0,1967,11722.98,809.41
7143_S9_L001_R1_001_trimmed,6211056,690824568,690824568,159.14,20.7,5754072.0,639361857.43,3972672,172.59,13.57,156.8,35.27,120090.0,13403579.0,83610,159.09,29.2,1985.33,404.32,153426.0,17124339.0,8731,2515.77,493.1,8834.82,560.49,140143.0,15655991.0,1967,8571.47,300.92
7144_S10_L001_R1_001_trimmed,6201937,679340420,679340420,158.51,20.41,5826199.0,637533133.79,3972672,174.27,14.1,194.59,102.95,152334.0,16858098.0,83610,175.77,41.69,1167.36,237.61,92190.0,10082915.0,8731,1410.54,173.03,5725.31,377.28,93029.0,10187917.0,1967,5556.37,260.66
725B_S21_L001_R1_001_trimmed,5014015,551217329,551217329,125.88,15.78,4616261.0,507286950.62,3972672,136.05,10.9,132.92,49.29,103082.0,11401963.0,83610,132.99,29.48,1307.54,246.15,103599.0,11310072.0,8731,1542.46,180.31,9154.67,516.4,150744.0,16358272.0,1967,9761.5,634.8
733-1_S28_L001_R1_001_trimmed,4465553,523056096,523056096,117.28,18.87,4036589.0,472695095.94,3972672,118.02,13.73,119.03,15.69,72297.0,8399108.0,83610,122.97,13.13,2274.84,462.42,166793.0,19548616.0,8731,2678.97,236.56,10479.98,563.34,159204.0,18621669.0,1967,10384.63,236.47
733-2_S31_L001_R1_001_trimmed,7795768,844975111,844975111,202.57,27.0,7473761.0,809780065.27,3972672,223.33,19.47,159.83,32.87,106629.0,11370496.0,83610,179.03,40.34,907.32,182.38,73009.0,7849422.0,8731,1087.1,161.74,6053.79,374.98,100351.0,10827515.0,1967,5924.87,332.91
733-3_S32_L001_R1_001_trimmed,4415412,512404847,512404847,121.44,17.74,4208463.0,488307511.67,3972672,124.28,13.52,121.83,17.76,73902.0,8584012.0,83610,121.49,13.11,678.34,131.8,50616.0,5846812.0,8731,793.18,102.12,4175.5,214.9,64775.0,7438433.0,1967,4162.66,89.49
733-5_S34_L001_R1_001_trimmed,7396780,797801906,797801906,192.67,28.03,7149523.0,770886530.05,3972672,213.17,21.4,147.66,34.53,99868.0,10584648.0,83610,159.49,37.16,601.63,132.43,49038.0,5208597.0,8731,727.03,93.72,3626.64,261.46,60377.0,6455372.0,1967,3243.13,146.45
733-6_S35_L001_R1_001_trimmed,5488038,626503363,626503363,146.2,20.58,5142924.0,586986374.47,3972672,156.3,15.84,161.56,29.06,100539.0,11415809.0,83610,169.48,28.07,1184.87,239.88,89789.0,10203458.0,8731,1405.44,182.51,6676.7,316.75,104700.0,11912126.0,1967,6529.81,214.63
