read_file,total_reads,total_bases,percent_bases_mapped,CP008706_accession,CP008706_coverage_avg,CP008706_coverage_rel_variance,CP008706_num_reads_mapped,CP008706_num_bases_mapped,CP008706_length,CP008706_nbinom_fit_mean,CP008706_nbinom_fit_rel_var,CP008707_accession,CP008707_coverage_avg,CP008707_coverage_rel_variance,CP008707_num_reads_mapped,CP008707_num_bases_mapped,CP008707_length,CP008707_nbinom_fit_mean,CP008707_nbinom_fit_rel_var,CP008708_accession,CP008708_coverage_avg,CP008708_coverage_rel_variance,CP008708_num_reads_mapped,CP008708_num_bases_mapped,CP008708_length,CP008708_nbinom_fit_mean,CP008708_nbinom_fit_rel_var,CP008709_accession,CP008709_coverage_avg,CP008709_coverage_rel_variance,CP008709_num_reads_mapped,CP008709_num_bases_mapped,CP008709_length,CP008709_nbinom_fit_mean,CP008709_nbinom_fit_rel_var
7141_S7_L001_R1_001_fastxclipper_trimmed,5567897,573528883,1.0,CP008706,132.44,22.63,5149027.0,530172070.83,3972672,147.02,20.17,CP008707,168.39,43.04,140642.0,14443159.0,83610,157.85,33.61,CP008708,1245.26,326.37,105535.0,10750327.0,8731,1065.69,183.32,CP008709,7512.82,868.79,130682.0,13200370.0,1967,6806.35,446.93
7142_S8_L001_R1_001_fastxclipper_trimmed,5787968,584852037,1.0,CP008706,133.1,21.87,5283007.0,533625716.72,3972672,147.46,18.1,CP008707,165.93,97.87,142572.0,14504967.0,83610,145.2,36.13,CP008708,1648.4,412.75,142250.0,14231418.0,8731,2144.96,758.26,CP008709,10067.88,1252.96,179303.0,17703259.0,1967,8238.09,303.8
7143_S9_L001_R1_001_fastxclipper_trimmed,5870803,611800520,1.0,CP008706,141.23,22.21,5442736.0,567053228.76,3972672,155.14,18.08,CP008707,137.91,33.77,113215.0,11802756.0,83610,139.48,28.13,CP008708,1730.88,423.86,144154.0,14908771.0,8731,2013.9,275.24,CP008709,7744.9,987.15,133049.0,13538637.0,1967,6772.57,375.5
7144_S10_L001_R1_001_fastxclipper_trimmed,5878822,604803996,1.0,CP008706,141.43,21.61,5528128.0,568361820.07,3972672,159.7,20.31,CP008707,171.92,94.96,143781.0,14921372.0,83610,159.07,39.92,CP008708,1026.5,249.69,86992.0,8858025.0,8731,1446.9,555.07,CP008709,5053.93,630.73,88707.0,8885596.0,1967,4105.52,128.3
725B_S21_L001_R1_001_fastxclipper_trimmed,4750079,490017170,1.0,CP008706,112.15,16.8,4375981.0,451566731.76,3972672,123.09,14.62,CP008707,117.46,45.38,97340.0,10085806.0,83610,102.7,18.38,CP008708,1147.28,258.96,97703.0,9913465.0,8731,0.0,384.38,CP008709,8118.65,885.75,144117.0,14345848.0,1967,7046.78,303.42
733-1_S28_L001_R1_001_fastxclipper_trimmed,4169431,454182396,1.0,CP008706,102.06,20.3,3769332.0,411007226.72,3972672,105.39,17.5,CP008707,103.51,16.62,67746.0,7301077.0,83610,107.43,13.31,CP008708,1945.01,486.44,154549.0,16679393.0,8731,5513.05,3921.53,CP008709,9008.99,1088.67,149645.0,15767904.0,1967,7319.79,377.7
733-2_S31_L001_R1_001_fastxclipper_trimmed,7408702,755482738,1.0,CP008706,181.42,28.21,7107467.0,724720732.5,3972672,204.47,26.58,CP008707,142.66,31.71,101595.0,10150425.0,83610,160.51,40.67,CP008708,802.93,188.09,69145.0,6938032.0,8731,1243.32,464.72,CP008709,5383.26,618.57,96039.0,9525568.0,1967,4489.36,184.92
733-3_S32_L001_R1_001_fastxclipper_trimmed,4132524,446801069,1.0,CP008706,106.1,19.44,3940524.0,426194047.11,3972672,111.52,17.43,CP008707,105.57,18.55,69184.0,7442701.0,83610,107.44,14.6,CP008708,583.39,141.46,47173.0,5018172.0,8731,654.46,81.51,CP008709,3610.28,419.31,61241.0,6341706.0,1967,3668.05,395.88
733-4_S33_L001_R1_001_fastxclipper_trimmed,6063191,637834374,1.0,CP008706,152.86,24.81,5790402.0,609193123.67,3972672,170.61,24.98,CP008707,141.5,28.18,96395.0,10027677.0,83610,153.01,28.13,CP008708,862.02,205.58,71398.0,7420223.0,8731,988.59,137.37,CP008709,4606.91,528.59,79631.0,8097657.0,1967,3811.37,151.84
733-5_S34_L001_R1_001_fastxclipper_trimmed,7031949,713916000,1.0,CP008706,172.72,29.01,6802651.0,690520020.55,3972672,193.8,26.64,CP008707,132.02,33.26,95285.0,9462147.0,83610,147.54,39.12,CP008708,534.23,136.38,46516.0,4620765.0,8731,651.98,211.43,CP008709,3230.22,413.88,57809.0,5687000.0,1967,2591.84,89.03
733-6_S35_L001_R1_001_fastxclipper_trimmed,5154110,549094404,0.99,CP008706,128.36,22.29,4832586.0,515002376.23,3972672,140.37,21.16,CP008707,140.78,28.93,94386.0,9946651.0,83610,149.05,28.23,CP008708,1026.64,254.89,84030.0,8827970.0,8731,747.21,87.56,CP008709,5797.22,632.11,99058.0,10204796.0,1967,5541.98,438.12
NRA275_S168_L008_R1_001_fastxclipper_trimmed,936970,84219598,1.0,CP008706,19.7,5.09,865480.0,77819706.21,3972672,22.18,5.92,CP008707,53.82,15.85,43309.0,3829548.0,83610,51.98,12.6,CP008708,129.48,37.3,12441.0,1106029.0,8731,159.93,68.28,CP008709,561.53,65.55,11472.0,1014595.0,1967,509.4,40.4
NRA276_S169_L008_R1_001_fastxclipper_trimmed,1452901,129946430,1.0,CP008706,30.33,7.6,1340803.0,119963220.75,3972672,33.61,8.02,CP008707,82.8,23.83,67216.0,5910873.0,83610,90.91,29.99,CP008708,204.21,63.04,19985.0,1768597.0,8731,139.18,19.1,CP008709,895.13,105.51,18240.0,1607571.0,1967,779.74,37.05
NRA277_S87_L008_R1_001_fastxclipper_trimmed,2062576,186416401,1.0,CP008706,42.67,7.54,1864603.0,168668432.7,3972672,47.89,7.03,CP008707,24.06,6.95,16878.0,1504510.0,83610,25.16,7.7,CP008708,802.22,235.45,77263.0,6923234.0,8731,1547.62,891.59,CP008709,4429.71,502.14,91048.0,7998259.0,1967,3748.39,107.75
NRA278_S88_L008_R1_001_fastxclipper_trimmed,2249410,206582762,1.0,CP008706,49.72,9.07,2121407.0,194837899.97,3972672,55.97,8.8,CP008707,38.11,10.45,18174.0,1659401.0,83610,49.75,16.69,CP008708,593.19,176.98,55776.0,5079351.0,8731,619.02,194.24,CP008709,2249.57,270.35,45070.0,4043654.0,1967,1966.4,112.48
NRA279_S89_L008_R1_001_fastxclipper_trimmed,3058307,275425867,1.0,CP008706,63.08,11.54,2760934.0,248726839.37,3972672,73.12,11.97,CP008707,28.9,8.44,22926.0,2042243.0,83610,31.62,8.95,CP008708,1255.83,374.84,120956.0,10834931.0,8731,2054.0,1042.64,CP008709,6518.94,749.91,133605.0,11763581.0,1967,6027.18,439.97
NRA280_S90_L008_R1_001_fastxclipper_trimmed,3203249,289933405,1.0,CP008706,64.15,11.11,2781781.0,252175330.92,3972672,73.02,10.28,CP008707,16.38,5.16,11429.0,1023553.0,83610,19.22,8.46,CP008708,1503.4,446.9,143886.0,12951897.0,8731,1890.01,369.02,CP008709,11568.02,1374.77,237270.0,20843188.0,1967,10779.23,1261.55
