read_file,total_reads,total_bases,percent_bases_mapped,CP008706_accession,CP008706_coverage_avg,CP008706_coverage_rel_variance,CP008706_num_reads_mapped,CP008706_num_bases_mapped,CP008706_length,CP008706_nbinom_fit_mean,CP008706_nbinom_fit_rel_var,CP008707_accession,CP008707_coverage_avg,CP008707_coverage_rel_variance,CP008707_num_reads_mapped,CP008707_num_bases_mapped,CP008707_length,CP008707_nbinom_fit_mean,CP008707_nbinom_fit_rel_var,CP008708_accession,CP008708_coverage_avg,CP008708_coverage_rel_variance,CP008708_num_reads_mapped,CP008708_num_bases_mapped,CP008708_length,CP008708_nbinom_fit_mean,CP008708_nbinom_fit_rel_var,CP008709_accession,CP008709_coverage_avg,CP008709_coverage_rel_variance,CP008709_num_reads_mapped,CP008709_num_bases_mapped,CP008709_length,CP008709_nbinom_fit_mean,CP008709_nbinom_fit_rel_var
7141_S7_L001_R1_001_fastxclipper_trimmed,5567897,573528883,0.995,CP008706,132.443,22.633,5149027.0,530172070.833,3972672,147.02,20.174,CP008707,168.394,43.04,140642.0,14443159.0,83610,157.85,33.611,CP008708,1245.261,326.37,105535.0,10750327.0,8731,1065.69,183.319,CP008709,7512.816,868.79,130682.0,13200370.0,1967,6806.349,446.931
7142_S8_L001_R1_001_fastxclipper_trimmed,5787968,584852037,0.997,CP008706,133.098,21.869,5283007.0,533625716.721,3972672,147.464,18.095,CP008707,165.925,97.874,142572.0,14504967.0,83610,145.196,36.128,CP008708,1648.405,412.748,142250.0,14231418.0,8731,2144.962,758.26,CP008709,10067.88,1252.963,179303.0,17703259.0,1967,8238.092,303.798
7143_S9_L001_R1_001_fastxclipper_trimmed,5870803,611800520,0.997,CP008706,141.232,22.213,5442736.0,567053228.764,3972672,155.144,18.076,CP008707,137.915,33.772,113215.0,11802756.0,83610,139.483,28.135,CP008708,1730.881,423.863,144154.0,14908771.0,8731,2013.902,275.237,CP008709,7744.904,987.148,133049.0,13538637.0,1967,6772.569,375.498
7144_S10_L001_R1_001_fastxclipper_trimmed,5878822,604803996,0.997,CP008706,141.426,21.613,5528128.0,568361820.067,3972672,159.7,20.31,CP008707,171.923,94.96,143781.0,14921372.0,83610,159.068,39.924,CP008708,1026.496,249.692,86992.0,8858025.0,8731,1446.905,555.074,CP008709,5053.931,630.725,88707.0,8885596.0,1967,4105.523,128.296
725B_S21_L001_R1_001_fastxclipper_trimmed,4750079,490017170,0.996,CP008706,112.147,16.798,4375981.0,451566731.762,3972672,123.085,14.625,CP008707,117.46,45.378,97340.0,10085806.0,83610,102.697,18.376,CP008708,1147.284,258.957,97703.0,9913465.0,8731,0.0,384.381,CP008709,8118.654,885.749,144117.0,14345848.0,1967,7046.782,303.423
733-1_S28_L001_R1_001_fastxclipper_trimmed,4169431,454182396,0.998,CP008706,102.064,20.298,3769332.0,411007226.719,3972672,105.388,17.496,CP008707,103.51,16.617,67746.0,7301077.0,83610,107.432,13.305,CP008708,1945.014,486.443,154549.0,16679393.0,8731,5513.051,3921.526,CP008709,9008.987,1088.673,149645.0,15767904.0,1967,7319.794,377.701
733-2_S31_L001_R1_001_fastxclipper_trimmed,7408702,755482738,0.997,CP008706,181.421,28.214,7107467.0,724720732.5,3972672,204.471,26.579,CP008707,142.661,31.707,101595.0,10150425.0,83610,160.507,40.674,CP008708,802.935,188.094,69145.0,6938032.0,8731,1243.322,464.723,CP008709,5383.264,618.571,96039.0,9525568.0,1967,4489.359,184.917
733-3_S32_L001_R1_001_fastxclipper_trimmed,4132524,446801069,0.998,CP008706,106.096,19.44,3940524.0,426194047.111,3972672,111.525,17.431,CP008707,105.567,18.548,69184.0,7442701.0,83610,107.438,14.605,CP008708,583.386,141.456,47173.0,5018172.0,8731,654.463,81.508,CP008709,3610.279,419.315,61241.0,6341706.0,1967,3668.053,395.882
733-4_S33_L001_R1_001_fastxclipper_trimmed,6063191,637834374,0.997,CP008706,152.858,24.814,5790402.0,609193123.667,3972672,170.613,24.983,CP008707,141.504,28.177,96395.0,10027677.0,83610,153.006,28.126,CP008708,862.024,205.581,71398.0,7420223.0,8731,988.588,137.37,CP008709,4606.909,528.593,79631.0,8097657.0,1967,3811.372,151.842
733-5_S34_L001_R1_001_fastxclipper_trimmed,7031949,713916000,0.997,CP008706,172.723,29.008,6802651.0,690520020.555,3972672,193.796,26.643,CP008707,132.016,33.26,95285.0,9462147.0,83610,147.543,39.119,CP008708,534.232,136.377,46516.0,4620765.0,8731,651.98,211.433,CP008709,3230.217,413.883,57809.0,5687000.0,1967,2591.845,89.034
733-6_S35_L001_R1_001_fastxclipper_trimmed,5154110,549094404,0.994,CP008706,128.364,22.291,4832586.0,515002376.229,3972672,140.367,21.16,CP008707,140.783,28.931,94386.0,9946651.0,83610,149.046,28.226,CP008708,1026.645,254.891,84030.0,8827970.0,8731,747.208,87.558,CP008709,5797.219,632.107,99058.0,10204796.0,1967,5541.975,438.123
NRA275_S168_L008_R1_001_fastxclipper_trimmed,936970,84219598,0.997,CP008706,19.696,5.093,865480.0,77819706.211,3972672,22.178,5.917,CP008707,53.816,15.845,43309.0,3829548.0,83610,51.98,12.597,CP008708,129.485,37.304,12441.0,1106029.0,8731,159.93,68.278,CP008709,561.529,65.546,11472.0,1014595.0,1967,509.401,40.395
NRA276_S169_L008_R1_001_fastxclipper_trimmed,1452901,129946430,0.997,CP008706,30.334,7.602,1340803.0,119963220.746,3972672,33.614,8.02,CP008707,82.8,23.827,67216.0,5910873.0,83610,90.908,29.991,CP008708,204.206,63.041,19985.0,1768597.0,8731,139.177,19.105,CP008709,895.125,105.515,18240.0,1607571.0,1967,779.739,37.049
NRA277_S87_L008_R1_001_fastxclipper_trimmed,2062576,186416401,0.998,CP008706,42.67,7.545,1864603.0,168668432.698,3972672,47.89,7.029,CP008707,24.056,6.946,16878.0,1504510.0,83610,25.156,7.697,CP008708,802.225,235.454,77263.0,6923234.0,8731,1547.623,891.593,CP008709,4429.707,502.139,91048.0,7998259.0,1967,3748.391,107.748
